,enroll_id,session_num,video_num,courseware_num
0,772,1,0,0
1,773,1,14,3
2,774,3,42,26
3,776,1,9,6
4,777,1,0,2
5,779,1,10,5
6,780,2,15,9
7,781,1,0,2
8,782,1,5,1
9,785,1,0,0
10,786,3,161,105
11,790,1,7,5
12,792,1,12,10
13,793,4,26,21
14,799,1,0,0
15,802,2,43,2
16,804,1,39,33
17,806,1,5,5
18,808,1,74,32
19,812,1,15,6
20,813,1,46,11
21,815,1,8,6
22,816,1,0,0
23,818,1,969,34
24,820,1,0,0
25,821,1,14,3
26,824,2,32,11
27,825,1,16,7
28,826,1,2,0
29,829,1,0,0
30,830,1,0,0
31,831,1,62,18
32,832,1,1,3
33,833,4,39,21
34,835,2,22,14
35,837,1,20,7
36,840,1,0,0
37,844,1,21,10
38,846,5,16,14
39,847,2,150,104
40,848,1,35,13
41,849,1,5,2
42,851,1,84,10
43,852,1,4,2
44,855,3,70,19
45,856,1,0,0
46,859,1,0,0
47,860,1,103,13
48,861,1,0,0
49,863,1,38,18
50,864,2,104,61
51,866,2,13,42
52,867,2,12,5
53,872,1,0,0
54,878,1,21,10
55,880,1,0,0
56,881,1,6,1
57,885,1,0,0
58,886,1,33,8
59,887,4,97,9
60,890,1,19,2
61,893,1,6,3
62,895,2,42,42
63,896,1,2,10
64,899,1,3,3
65,901,1,0,0
66,903,7,105,52
67,906,1,0,0
68,907,1,9,5
69,908,4,23,40
70,910,1,0,0
71,913,1,15,2
72,914,1,0,0
73,915,1,142,31
74,918,5,535,103
75,919,1,0,0
76,920,1,18,3
77,922,2,103,16
78,925,3,14,12
79,926,3,15,5
80,929,2,12,6
81,932,2,10,4
82,935,1,30,34
83,936,1,14,0
84,937,1,8,3
85,938,3,102,16
86,939,4,429,137
87,940,1,6,2
88,944,1,59,13
89,946,1,69,3
90,950,5,47,22
91,953,1,23,4
92,954,1,20,5
93,955,1,14,12
94,957,17,79,220
95,959,1,156,56
96,960,14,117,69
97,961,1,0,0
98,962,1,7,6
99,963,2,6,2
100,965,1,0,0
101,967,1,0,0
102,968,2,28,11
103,969,1,77,3
104,970,2,27,9
105,973,1,0,0
106,975,1,16,9
107,976,1,0,0
108,977,3,70,17
109,979,1,0,0
110,984,1,3,4
111,985,9,163,102
112,988,2,9,3
113,989,3,153,12
114,990,1,78,10
115,991,2,0,14
116,992,2,92,40
117,994,1,23,13
118,995,1,0,0
119,996,1,188,30
120,1000,10,213,72
121,1006,1,0,0
122,1009,1,12,7
123,1011,4,47,74
124,1012,1,107,12
125,1013,1,4,4
126,1014,1,47,28
127,1015,2,1,5
128,1016,1,22,9
129,1020,1,0,0
130,1021,1,0,0
131,1022,1,14,8
132,1023,1,0,0
133,1025,2,6,3
134,1026,1,43,23
135,1027,1,11,2
136,1028,1,7,9
137,1029,1,2,2
138,1030,1,1,2
139,1031,1,0,0
140,1033,1,0,0
141,1035,1,0,0
142,1036,1,32,6
143,1038,2,683,75
144,1042,1,186,7
145,1043,1,18,9
146,1050,1,5,2
147,1051,3,8,12
148,1058,2,0,1
149,1059,1,14,4
150,1060,1,9,9
151,1062,2,0,18
152,1063,1,30,12
153,1066,1,27,0
154,1070,1,7,4
155,1071,1,0,0
156,1072,1,3,2
157,1073,3,57,26
158,1074,1,0,0
159,1075,1,2,12
160,1078,2,108,19
161,1081,3,42,30
162,1083,1,13,12
163,1085,3,8,33
164,1086,1,0,2
165,1087,12,140,70
166,1094,5,411,66
167,1096,1,1,3
168,1097,3,42,34
169,1098,1,19,8
170,1099,2,35,22
171,1103,3,7893,37
172,1106,2,25,15
173,1108,1,0,0
174,1109,1,0,0
175,1111,1,0,0
176,1113,6,187,88
177,1114,3,126,154
178,1116,1,0,0
179,1117,13,69,92
180,1118,3,43,29
181,1124,2,47,11
182,1125,2,272,41
183,1126,2,113,130
184,1127,1,22,18
185,1130,2,30,17
186,1133,1,21,8
187,1134,1,16,4
188,1135,2,3,7
189,1136,1,0,0
190,1139,1,8,16
191,1141,6,688,48
192,1142,1,1,2
193,1144,2,17,15
194,1145,1,5,1
195,1146,3,69,42
196,1147,2,27,8
197,1148,1,0,0
198,1149,1,0,0
199,1150,1,5,5
200,1152,3,410,152
201,1154,3,42,32
