,id,course_id,course_type,category,start_date,end_date,duration,start_tsp,end_tsp
17,577,TsinghuaX/70150023X/2015_T1,0,engineering,2015-03-02,2015-07-05,125,1425254400,1436054400
38,5735,course-v1:NJU+010101+2016_T1,0,social science,2016-03-28,2017-02-15,324,1459123200,1487116800
41,11612,course-v1:DYU+dyuglbbx+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
45,9290,course-v1:TsinghuaX+00690302_2+2017_T2,0,literature,2017-04-03,2017-05-31,58,1491177600,1496188800
59,2070,course-v1:TsinghuaX+00510663X+2015_T2,0,business,2015-10-12,2016-01-16,96,1444608000,1452902400
60,557,TsinghuaX/10450034_1X/2015_T2,0,biology,2015-11-02,2016-02-03,93,1446422400,1454457600
76,4542,course-v1:TsinghuaX+70240183X+2016_T11,0,computer,2016-03-29,2016-07-12,105,1459209600,1468281600
86,7272,course-v1:TsinghuaX+00612643X+2016_T2,0,literature,2016-10-10,2016-12-31,82,1476057600,1483142400
88,11869,course-v1:WageningenX+NUTR101x+2017_T2,0,medicine,2015-01-01,2017-12-25,1089,1420070400,1514160000
99,679,TsinghuaX/00740043_2X/2015_T1,0,computer,2015-04-27,2015-07-24,88,1430092800,1437696000
104,227,UC_BerkeleyX/ColWri2_2x/2014_T2,0,foreign language,2015-01-01,2015-01-27,26,1420070400,1422316800
106,11213,course-v1:SDUx+00931800X+2017_T2,0,math,2015-01-01,2017-12-25,1089,1420070400,1514160000
129,5489,course-v1:TsinghuaX+40990255X_1+2016_T2,0,engineering,2016-04-05,2016-08-30,147,1459814400,1472515200
131,184,TsinghuaX/80000901X/2014_T2,0,history,2015-01-01,2015-02-12,42,1420070400,1423699200
140,11257,course-v1:MITx+15_671x+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
141,6928,course-v1:NUDT+082501502+2016_2,0,engineering,2016-10-08,2016-12-11,64,1475884800,1481414400
150,672,HNU/HNU001/2015_T1,0,social science,2015-03-16,2015-07-12,118,1426464000,1436659200
166,6780,course-v1:TsinghuaX+TSINGHUA107+2016-T2,0,social science,2016-09-12,2016-12-28,107,1473638400,1482883200
167,512,TsinghuaX/00701032X/2015_T1,0,social science,2015-03-16,2015-07-21,127,1426464000,1437436800
173,4478,course-v1:TsinghuaX+20350033X+2016_T1,0,engineering,2016-02-22,2016-06-20,119,1456099200,1466380800
174,6465,course-v1:TsinghuaX+80590952X+2016_TS,0,economics,2016-07-01,2016-09-01,62,1467331200,1472688000
181,3679,course-v1:ZUEL+B0680090_2015_T2+2015_T2,0,economics,2015-10-30,2016-02-01,94,1446163200,1454284800
183,496,TsinghuaX/30240184_2015X/2015_T1,0,computer,2015-03-03,2015-07-10,129,1425340800,1436486400
199,6456,course-v1:TsinghuaX+01030132X+2016_TS,0,history,2016-07-01,2016-09-01,62,1467331200,1472688000
207,11235,course-v1:TsinghuaX+20120143X+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
210,6386,course-v1:TsinghuaX+30130503X+2016_T2,0,physics,2016-09-12,2016-12-28,107,1473638400,1482883200
215,4381,course-v1:TsinghuaX+30040323X+2016_T1,0,engineering,2016-02-23,2016-06-26,124,1456185600,1466899200
220,749,MITx/15_390x_2015_T1/2015_T1,0,business,2015-07-03,2015-09-15,74,1435881600,1442275200
227,9289,course-v1:TsinghuaX+00680142X+2017_T1,0,philosophy,2017-02-20,2017-05-31,100,1487548800,1496188800
228,6349,course-v1:TsinghuaX+AP201601X+2016_T2,0,physics,2016-07-01,2016-09-15,76,1467331200,1473897600
235,11295,course-v1:TsinghuaX+60510102X+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
238,540,TsinghuaX/20440333_2015X/2015_T1,0,chemistry,2015-03-15,2015-07-25,132,1426377600,1437782400
239,11301,course-v1:CLE+CLE2017001+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
245,4343,course-v1:TsinghuaX+20120143X+2016_T1,0,art,2016-03-01,2016-06-24,115,1456790400,1466726400
254,11654,course-v1:TsinghuaX+THU201605X+2017_T2,0,education,2015-01-01,2017-12-25,1089,1420070400,1514160000
256,510,TsinghuaX/10430494_2015X/2015_T1,0,physics,2015-03-02,2015-08-03,154,1425254400,1438560000
261,5630,course-v1:MITx+15_390x_2016T1+2016_T1,0,business,2016-03-28,2016-07-08,102,1459123200,1467936000
264,544,TsinghuaX/30240243X/2015_T1,0,computer,2015-03-26,2015-07-26,122,1427328000,1437868800
266,6664,course-v1:TsinghuaX+20220214X+2016_T2,0,engineering,2016-09-12,2016-12-28,107,1473638400,1482883200
270,1559,course-v1:TsinghuaX+40050455X_2015_2+2015_T2,0,engineering,2015-09-14,2016-02-01,140,1442188800,1454284800
